"Intressegrupper","Radetiketter"
"Arkiv","Arkiv"
"Bibliotek","Bibliotek"
"Humaniora","Humaniora"
"Kommunikation","Kommunikation"
"Kommunikation","MKV"
"Kommunikation","MKV: Kommunikationsvetenskap"
"Kultur","Kultur"
"Museum","Museum"
"Museum","Museologi/Museivetenskap"
"Språk","Språk"
"Svenska Logopedförbundet","Svenska Logopedförbundet"
"Humaniora","ABM"
"Övrigt","Administration och förvaltning"
"Övrigt","allmän inriktning"
"Humaniora","Arkitekturhistoria (motsv)"
"Arkiv","Arkivvetenskap"
"Bibliotek","Bibliotekarieutbildning"
"Humaniora","Bildlärare"
"Kultur","Byggnadsantikvarie"
"Kultur","Byggnadsvård"
"Kommunikation","design"
"Övrigt","Ekonomi"
"Kultur","Estetik"
"Humaniora","Etnologi"
"Språk","facköversättning"
"Språk","Finsk-Ugriska språk"
"Kultur","Formgivning"
"Kommunikation","Foto"
"Kommunikation","fotografi"
"Övrigt","Företagsekonomi"
"Övrigt","Förskollärare"
"Kommunikation","Grafisk design"
"Övrigt","Grundskollärare"
"Kultur","Hemslöjdsutb"
"Kultur","Hemslöjdsutbildning"
"Övrigt","hörselvård"
"Kommunikation","Informationsteknologi/datatekn"
"Kommunikation","Journalistik"
"Kultur","Konsthantverk"
"Humaniora","Konstnärlig högskoleutbildning"
"Humaniora","Konstvetenskap/-historia"
"Kultur","Kulturadministration"
"Kultur","Kulturvetenskap"
"Kommunikation","Marknadsföring"
"Kommunikation","Medie- o kommunikationsvetensk"
"Kommunikation","Medieproduktion"
"Kommunikation","MKV: Informationsvetenskap"
"Kommunikation","MKV: Medie- och kommunikationsvetenskap"
"Kommunikation","MKV: Medieteknik"
"Kommunikation","Multimedia"
"Humaniora","Musik"
"Övrigt","Pedagogik"
"Kommunikation","radio- och TV-produktion"
"Kommunikation","reklam"
"Kommunikation","Reklamutbildning"
"Övrigt","Socionomutbildning"
"Språk","Språkvetenskap"
"Språk","Svenska"
"Språk","Teckenspråk"
"Kultur","Textildesign"
"Kultur","textilinr"
"Kultur","trä o metallinr"
"Kultur","Turism"
"Övrigt","Uppgift saknas"
"Språk","Vuxendövtolk"
"Övrigt","yrkesämne"
"Övrigt","Ämneslärare"
