"year","month","ers_tagare_p","akt_stod_p"
2011,"mars",1.55,
2011,"juni",1.35,
2011,"september",1.51,
2011,"december",1.34,
2012,"januari",1.28,
2012,"februari",1.36,
2012,"mars",1.31,""
2012,"april",1.44,0.76
2012,"maj",1.33,0.74
2012,"juni",1.17,0.74
2012,"juli",1.21,0.71
2012,"augusti",1.40,0.71
2012,"september",1.39,0.71
2012,"oktober",1.32,0.73
2012,"november",1.36,0.73
2012,"december",1.27,0.74
2013,"januari",1.40,0.74
2013,"februari",1.38,0.73
2013,"mars",1.30,0.70
2013,"april",1.30,0.70
2013,"maj",1.40,0.70
2013,"juni",1.20,0.70
2013,"juli",1.30,0.70
2013,"augusti",1.50,0.70
2013,"september",1.50,0.70
2013,"oktober",1.50,0.70
2013,"november",1.34,0.72
2013,"december",1.30,0.70
2014,"januari",1.40,0.70
2014,"februari",1.40,0.70
2014,"mars",1.40,0.70
2014,"april",1.30,0.70
2014,"maj",,
2014,"juni",,
2014,"juli",,
2014,"augusti",,
2014,"september",,
2014,"oktober",,
2014,"november",,
2014,"december",,
