year;month;age_group;antal;ers;aktivitets;arb_m_stod
2011;mars;<25;123;5;;
2011;mars;25-29;1462;66;;
2011;mars;30-34;2510;94;;
2011;mars;35-39;3345;108;;
2011;mars;40-44;2685;83;;
2011;mars;45-49;2549;68;;
2011;mars;50-54;2046;61;;
2011;mars;55-59;1671;51;;
2011;mars;60-64;1195;26;;
2011;Juni;<25;121;1;;
2011;Juni;25-29;1444;47;;
2011;Juni;30-34;2509;82;;
2011;Juni;35-39;3335;102;;
2011;Juni;40-44;2753;70;;
2011;Juni;45-49;2581;67;;
2011;Juni;50-54;2049;52;;
2011;Juni;55-59;1712;51;;
2011;Juni;60-64;1248;25;;
2011;september;<25;128;3;;
2011;september;25-29;1423;61;;
2011;september;30-34;2534;103;;
2011;september;35-39;3322;104;;
2011;september;40-44;2798;93;;
2011;september;45-49;2605;68;;
2011;september;50-54;2068;62;;
2011;september;55-59;1732;55;;
2011;september;60-64;1318;30;;
2011;december;<25;111;;;
2011;december;25-29;1350;50;;
2011;december;30-34;2455;76;;
2011;december;35-39;3259;87;;
2011;december;40-44;2816;76;;
2011;december;45-49;2616;61;;
2011;december;50-54;2073;50;;
2011;december;55-59;1739;50;;
2011;december;60-64;1378;30;;
2012;mars;<25;102;2;;
2012;mars;25-29;1330;56;;
2012;mars;30-34;2471;95;;
2012;mars;35-39;3251;99;;
2012;mars;40-44;2861;88;;
2012;mars;45-49;2648;81;;
2012;mars;50-54;2120;55;;
2012;mars;55-59;1764;61;;
2012;mars;60-64;1423;31;;
2012;Juni;<25;85;0;3;0
2012;Juni;25-29;1289;50;2;9
2012;Juni;30-34;2477;54;22;18
2012;Juni;35-39;3196;67;39;31
2012;Juni;40-44;2943;62;35;37
2012;Juni;45-49;2644;77;36;28
2012;Juni;50-54;2165;46;53;51
2012;Juni;55-59;1788;60;30;38
2012;Juni;60-64;1464;27;39;36
2012;Juli;<25;88;2;3;0
2012;Juli;25-29;1278;55;0;10
2012;Juli;30-34;2471;62;19;14
2012;Juli;35-39;3198;81;34;29
2012;Juli;40-44;2945;71;28;34
2012;Juli;45-49;2657;73;36;30
2012;Juli;50-54;2170;46;47;51
2012;Juli;55-59;1799;51;34;39
2012;Juli;60-64;1454;31;39;37
2012;augusti;<25;86;3;2;0
2012;augusti;25-29;1284;66;3;9
2012;augusti;30-34;2487;78;19;13
2012;augusti;35-39;3173;80;33;31
2012;augusti;40-44;2977;89;32;32
2012;augusti;45-49;2669;78;37;30
2012;augusti;50-54;2175;56;51;49
2012;augusti;55-59;1806;67;35;38
2012;augusti;60-64;1456;36;40;38
2012;september;<25;88;2;0;0
2012;september;25-29;1264;62;2;9
2012;september;30-34;2474;72;19;17
2012;september;35-39;3175;78;35;32
2012;september;40-44;2994;75;35;31
2012;september;45-49;2679;67;36;30
2012;september;50-54;2171;45;46;48
2012;september;55-59;1807;60;41;38
2012;september;60-64;1463;39;40;38
2012;oktober;<25;88;2;0;0
2012;oktober;25-29;1271;60;1;8
2012;oktober;30-34;2474;79;20;18
2012;oktober;35-39;3160;67;33;34
2012;oktober;40-44;2999;65;38;30
2012;oktober;45-49;2686;58;38;32
2012;oktober;50-54;2177;43;41;48
2012;oktober;55-59;1802;55;42;37
2012;oktober;60-64;1474;33;39;42
2012;november;<25;93;1;0;0
2012;november;25-29;1255;52;3;6
2012;november;30-34;2469;81;21;17
2012;november;35-39;3156;64;34;36
2012;november;40-44;3013;79;38;32
2012;november;45-49;2707;61;39;29
2012;november;50-54;2187;44;37;46
2012;november;55-59;1798;48;46;39
2012;november;60-64;1469;33;37;40
2012;december;<25;88;;1;1
2012;december;25-29;1251;50;5;6
2012;december;30-34;2478;83;19;18
2012;december;35-39;3146;62;38;34
2012;december;40-44;3028;78;40;33
2012;december;45-49;2711;58;44;31
2012;december;50-54;2184;39;37;48
2012;december;55-59;1810;43;48;38
2012;december;60-64;1463;26;41;43
2013;januari;<25;89;1;3;1
2013;januari;25-29;1250;60;5;7
2013;januari;30-34;2486;93;20;18
2013;januari;35-39;3142;73;32;34
2013;januari;40-44;3046;87;37;34
2013;januari;45-49;2704;65;41;32
2013;januari;50-54;2202;50;40;51
2013;januari;55-59;1819;45;46;40
2013;januari;60-64;1449;29;42;43
2013;februari;<25;92;2;2;1
2013;februari;25-29;1245;53;5;7
2013;februari;30-34;2494;96;20;20
2013;februari;35-39;3137;84;31;34
2013;februari;40-44;3053;78;37;36
2013;februari;45-49;2720;69;40;31
2013;februari;50-54;2211;52;40;49
2013;februari;55-59;1815;43;41;39
2013;februari;60-64;1419;31;42;41
2013;mars;<25;85;2;2;1
2013;mars;25-29;1232;53;6;6
2013;mars;30-34;2503;96;16;21
2013;mars;35-39;3110;80;26;33
2013;mars;40-44;3075;77;38;32
2013;mars;45-49;2712;76;36;32
2013;mars;50-54;2237;57;40;46
2013;mars;55-59;1809;37;35;38
2013;mars;60-64;1413;31;41;43
2013;april;<25;86;2;2;1
2013;april;25-29;1221;44;6;7
2013;april;30-34;2484;94;18;19
2013;april;35-39;3093;77;22;33
2013;april;40-44;3079;73;40;31
2013;april;45-49;2706;67;38;30
2013;april;50-54;2257;57;40;47
2013;april;55-59;1822;44;45;38
2013;april;60-64;1379;27;36;45
2013;maj;<25;78;2;4;1
2013;maj;25-29;1233;43;6;6
2013;maj;30-34;2471;88;15;19
2013;maj;35-39;3078;70;22;36
2013;maj;40-44;3111;80;40;31
2013;maj;45-49;2699;67;41;32
2013;maj;50-54;2262;60;37;46
2013;maj;55-59;1840;50;36;38
2013;maj;60-64;1382;33;34;47
2013;juni;<25;77;1;3;0
2013;juni;25-29;1223;40;5;8
2013;juni;30-34;2460;77;14;20
2013;juni;35-39;3068;59;24;34
2013;juni;40-44;3124;54;39;31
2013;juni;45-49;2699;50;45;35
2013;juni;50-54;2258;63;34;48
2013;juni;55-59;1841;37;38;38
2013;juni;60-64;1397;30;36;48
2013;juli;<25;72;1;2;0
2013;juli;25-29;1194;36;5;7
2013;juli;30-34;2458;88;11;23
2013;juli;35-39;3029;59;23;31
2013;juli;40-44;3103;72;37;32
2013;juli;45-49;2683;55;42;32
2013;juli;50-54;2257;58;38;47
2013;juli;55-59;1839;48;40;40
2013;juli;60-64;1384;32;38;44
2013;augusti;<25;75;2;2;0
2013;augusti;25-29;1190;36;6;8
2013;augusti;30-34;2444;97;13;21
2013;augusti;35-39;3041;77;27;29
2013;augusti;40-44;3100;84;38;37
2013;augusti;45-49;2688;59;39;30
2013;augusti;50-54;2268;57;44;47
2013;augusti;55-59;1844;43;38;40
2013;augusti;60-64;1377;32;35;44
2013;september;<25;96;6;1;0
2013;september;25-29;1247;41;7;7
2013;september;30-34;2480;95;11;21
2013;september;35-39;3037;71;30;27
2013;september;40-44;3107;77;39;35
2013;september;45-49;2707;62;39;29
2013;september;50-54;2270;62;43;48
2013;september;55-59;1843;53;36;40
2013;september;60-64;1389;39;34;44
2013;oktober;<25;99;5;2;0
2013;oktober;25-29;1269;34;7;8
2013;oktober;30-34;2476;85;7;20
