"year","month","utb_niva","antal","ers_tagare","akt_stod","anst_m_stod"
2012,"mars","Okänd",259,8,NA,NA
2012,"mars","<2 år Univ/Högskola",724,10,NA,NA
2012,"mars","2< år Univ/Högskola",140,7,NA,NA
2012,"mars","3< år Univ/Högskola",4389,144,NA,NA
2012,"mars","4< år Univ/Högskola",5375,161,NA,NA
2012,"mars","5< år- Univ/Högskola",4653,127,NA,NA
2012,"mars","Doktorsutbildning/examen",3,0,NA,NA
2012,"mars","Licentiatutbildning/examen",1,1,NA,NA
2012,"mars","Magister",72,4,NA,NA
2012,"mars","Master",30,0,NA,NA
2012,"mars","Studerande",933,50,NA,NA
2012,"mars","Uppgift saknas",1321,53,NA,NA
2012,"mars","Yrkesinriktad utb",70,3,NA,NA
2012,"Juni","Okänd",264,8,NA,NA
2012,"Juni","<2 år Univ/Högskola",725,10,NA,NA
2012,"Juni","2< år Univ/Högskola",141,9,NA,NA
2012,"Juni","3< år Univ/Högskola",4417,115,NA,NA
2012,"Juni","4< år Univ/Högskola",5406,135,NA,NA
2012,"Juni","5< år- Univ/Högskola",4655,84,NA,NA
2012,"Juni","Doktorsutbildning/examen",3,0,NA,NA
2012,"Juni","Licentiatutbildning/examen",1,1,NA,NA
2012,"Juni","Magister",75,1,NA,NA
2012,"Juni","Master",30,0,NA,NA
2012,"Juni","Studerande",949,41,NA,NA
2012,"Juni","Uppgift saknas",1314,36,NA,NA
2012,"Juni","Yrkesinriktad utb",71,3,NA,NA
2012,"Juli","Okänd",272,9,NA,NA
2012,"Juli","<2 år Univ/Högskola",727,10,NA,NA
2012,"Juli","2< år Univ/Högskola",144,9,NA,NA
2012,"Juli","3< år Univ/Högskola",4464,117,NA,NA
2012,"Juli","4< år Univ/Högskola",5451,135,NA,NA
2012,"Juli","5< år- Univ/Högskola",4684,85,NA,NA
2012,"Juli","Doktorsutbildning/examen",3,0,NA,NA
2012,"Juli","Licentiatutbildning/examen",1,1,NA,NA
2012,"Juli","Magister",75,1,NA,NA
2012,"Juli","Master",31,0,NA,NA
2012,"Juli","Studerande",1177,46,NA,NA
2012,"Juli","Uppgift saknas",1339,36,NA,NA
2012,"Juli","Yrkesinriktad utb, ej univ",72,4,NA,NA
2012,"augusti","Okänd",306,14,NA,NA
2012,"augusti","<2 år Univ/Högskola",757,13,NA,NA
2012,"augusti","2< år Univ/Högskola",155,9,NA,NA
2012,"augusti","3< år Univ/Högskola",4717,149,NA,NA
2012,"augusti","4< år Univ/Högskola",5775,139,NA,NA
2012,"augusti","5< år- Univ/Högskola",4886,125,NA,NA
2012,"augusti","Doktorsutbildning/examen",3,0,NA,NA
2012,"augusti","Licentiatutbildning/examen",1,1,NA,NA
2012,"augusti","Magister",85,5,NA,NA
2012,"augusti","Master",47,1,NA,NA
2012,"augusti","Studerande",2574,58,NA,NA
2012,"augusti","Uppgift saknas",1415,45,NA,NA
2012,"augusti","Yrkesinriktad utb, ej univ",81,5,NA,NA
2012,"september","Okänd",306,12,NA,NA
2012,"september","<2 år Univ/Högskola",760,12,NA,NA
2012,"september","2< år Univ/Högskola",161,7,NA,NA
2012,"september","3< år Univ/Högskola",4741,132,NA,NA
2012,"september","4< år Univ/Högskola",5789,127,NA,NA
2012,"september","5< år- Univ/Högskola",4919,117,NA,NA
2012,"september","Doktorsutbildning/examen",3,0,NA,NA
2012,"september","Licentiatutbildning/examen",1,1,NA,NA
2012,"september","Magister",88,5,NA,NA
2012,"september","Master",52,3,NA,NA
2012,"september","Studerande",2657,54,NA,NA
2012,"september","Uppgift saknas",1424,43,NA,NA
2012,"september","Yrkesinriktad utb, ej univ",81,4,NA,NA
2012,"oktober","Okänd",309,9,NA,NA
2012,"oktober","<2 år Univ/Högskola",756,13,NA,NA
2012,"oktober","2< år Univ/Högskola",164,5,NA,NA
2012,"oktober","3< år Univ/Högskola",4751,122,NA,NA
2012,"oktober","4< år Univ/Högskola",5795,123,NA,NA
2012,"oktober","5< år- Univ/Högskola",4928,94,NA,NA
2012,"oktober","Doktorsutbildning/examen",4,0,NA,NA
2012,"oktober","Licentiatutbildning/examen",1,1,NA,NA
2012,"oktober","Magister",92,4,NA,NA
2012,"oktober","Master",53,2,NA,NA
2012,"oktober","Studerande",2683,60,NA,NA
2012,"oktober","Uppgift saknas",1410,36,NA,NA
2012,"oktober","Yrkesinriktad utb, ej univ",81,4,NA,NA
2012,"november","Okänd",264,5,NA,NA
2012,"november","<2 år Univ/Högskola",716,17,NA,NA
2012,"november","2< år Univ/Högskola",144,5,NA,NA
2012,"november","3< år Univ/Högskola",4458,127,NA,NA
2012,"november","4< år Univ/Högskola",5431,121,NA,NA
2012,"november","5< år- Univ/Högskola",4651,95,NA,NA
2012,"november","Doktorsutbildning/examen",3,1,NA,NA
2012,"november","Licentiatutbildning/examen",1,1,NA,NA
2012,"november","Magister",85,3,NA,NA
2012,"november","Master",38,0,NA,NA
2012,"november","Studerande",1002,50,NA,NA
2012,"november","Uppgift saknas",1283,35,NA,NA
2012,"november","Yrkesinriktad utb, ej univ",74,3,NA,NA
2012,"december","Okänd",263,6,NA,NA
2012,"december","<2 år Univ/Högskola",715,17,NA,NA
2012,"december","2< år Univ/Högskola",144,3,NA,NA
2012,"december","3< år Univ/Högskola",4462,133,NA,NA
2012,"december","4< år Univ/Högskola",5432,109,NA,NA
2012,"december","5< år- Univ/Högskola",4661,81,NA,NA
