"year","month","AEA_ansl_M","AEA_ansl_K","ers_tagare_M","ers_tagare_K","akt_stod_M","akt_stod_K","anst_m_stod_M","anst_m_stod_K"
2011,"mars",3933,13653,136,416,80,178,86,160
2011,"juni",3899,13551,123,363,70,162,87,167
2011,"september",3993,13935,129,450,69,148,87,160
2011,"december",3960,13837,110,370,73,161,82,168
2012,"januari",3979,13886,113,362,76,172,85,165
2012,"februari",3996,13921,124,417,75,176,86,159
2012,"mars",4008,13962,132,436,77,190,88,157
2012,"april",4014,13992,122,395,79,182,85,162
2012,"maj",4022,14014,118,389,87,176,82,163
2012,"Juni",4026,14025,106,337,82,177,86,162
2012,"juli",4030,14030,107,365,81,159,92,152
2012,"augusti",4036,14077,113,440,90,162,89,151
2012,"september",4035,14080,105,395,84,170,92,151
2013,"oktober",4047,14084,92,370,84,168,94,155
2013,"november",4051,14096,100,363,82,173,95,150
2012,"december",4047,14112,97,342,84,189,99,153
2013,"januari",3769,14127,110,393,82,184,99,161
2013,"februari",4052,14134,114,394,81,176,95,163
2013,"mars",4308,14911,114,395,77,163,93,159
2013,"april",4034,14093,102,383,77,161,94,157
2013,"maj",4040,14114,108,385,85,150,92,164
2013,"juni",4027,14120,93,318,81,157,95,167
2013,"juli",4002,14017,93,356,84,152,89,167
2013,"augusti",4006,14021,114,373,80,162,90,166
2013,"september",4029,14147,113,393,79,161,96,155
2013,"oktober",4043,14199,109,370,77,153,95,156
2013,"november",4039,14161,102,324,76,162,96,153
2013,"december",3998,14044,96,333,80,179,96,145
2014,"januari",4018,14092,125,365,83,174,92,145
2014,"februari",3877,13708,102,378,84,154,91,141
2014,"mars",4009,14081,105,382,82,156,94,156
2014,"april",4045,14177,104,357,75,144,97,153
2014,"maj",4044,14165,108,384,76,163,96,151
2014,"juni",4054,14197,104,332,79,166,94,152
