"year","month","ers_tagare","akt_stod","anst_m_stod"
2011,"mars",552,258,246
2011,"juni",486,232,254
2011,"september",561,217,247
2011,"december",480,234,250
2012,"januari",475,248,250
2012,"februari",541,251,245
2012,"mars",568,267,245
2012,"april",517,261,247
2012,"maj",507,263,245
2012,"Juni",443,259,248
2012,"juli",472,240,244
2012,"augusti",553,252,240
2012,"september",500,254,243
2012,"oktober",462,252,249
2012,"november",463,255,245
2012,"december",439,273,252
2013,"januari",503,266,260
2013,"februari",508,257,258
2013,"mars",509,255,238
2013,"april",485,238,251
2013,"maj",493,235,256
2013,"juni",411,238,262
2013,"juli",449,236,256
2013,"augusti",487,242,256
2013,"september",506,240,251
2013,"oktober",479,230,251
2013,"november",426,238,249
2013,"december",429,234,240
2014,"januari",490,231,236
2014,"februari",480,222,226
2014,"mars",487,242,230
2014,"april",461,240,229
2014,"maj",492,239,247
2014,"juni",436,239,232
2014,"juli",493,237,222
2014,"augusti",483,234,226
2014,"december",380,227,232
2015,"februari",418,223,233
