"year","month","Direktaviserade_AEA","Forbundsaviserade_AEA","Medlemmar_DIK_upp_till_65"
2011,"mars",1001,16585,21028
2011,"juni",990,16762,21005
2011,"september",1001,16927,20983
2011,"december",999,17140,20956
2012,"januari",1021,17198,20945
2012,"februari",1022,17257,20938
2012,"mars",1029,17312,20924
2012,"april",1036,17350,20905
2012,"maj",1018,17406,20891
2012,"juni",1005,17435,20877
2012,"juli",1037,17416,20802
2012,"augusti",1047,17403,20802
2012,"september",1073,17395,20982
2012,"oktober",1092,17414,21027
2012,"november",1102,17430,21083
2012,"december",1122,17423,21080
2013,"januari",1168,17418,21077
2013,"februari",1181,17383,21099
2013,"mars",1187,17367,21087
2013,"april",1218,17292,21015
2013,"maj",1228,17318,21053
2013,"juni",1236,17301,21019
2013,"juli",1251,17168,20998
2013,"augusti",1282,17150,20826
2013,"september",1309,17157,20880
2013,"oktober",1344,17208,20948
2013,"november",1373,17146,20996
2013,"december",1374,16991,20918
2014,"januari",1417,17042,20980
2014,"februari",1293,16594,20010
2014,"mars",1472,16966,21030
2014,"april",1512,17063,21012
2014,"maj",1537,17039,21012
2014,"juni",1573,17050,21022
2014,"juli",1589,17051,20970
2014,"augusti",1630,17025,20977
2014,"september",1676,17009,21078
2014,"oktober",1715,17002,21131
2014,"november",1796,17099,21151
2014,"december",1779,15840,21113
2015,"januari",1671,15897,19526
2015,"februari",1675,15847,19519
2015,"mars",1244,14974,19669
2015,"april",1759,15721,19495
2015,"maj",1789,15708,19497
2015,"juni",1804,15664,19501
2015,"juli",1815,15669,19494
2015,"augusti",1833,15656,19483
2015,"september",1896,15640,19478
2015,"oktober",1922,15606,19487
2015,"november",1964,15518,19542
2015,"december",1965,15491,19510
2016,"januari",2014,15468,19454
2016,"februari",2016,15419,19428
2016,"mars",2060,15361,19415
2016,"april",2059,15338,19385
2016,"maj",2078,15311,19385
2016,"juni",2086,15222,19367
2016,"juli",2109,15247,19302
2016,"augusti",2143,15240,19341
2016,"september",2183,15221,19426
2016,"oktober",2225,15218,19435
2016,"november",2293,15211,19494
2016,"december",2316,15196,19482
2017,"januari",2366,15162,19487
2017,"maj",2431,15072,19461
2018,"januari",2581,14622,19537
2018,"februari",2625,14627,19542
2018,"mars",2639,14643,19526
2018,"april",2603,14648,19382
2018,"maj",2675,14672,19477
2018,"juni",2702,14666,19433
2018,"juli",2688,14672,19369
2018,"augusti",2697,14694,19342
2018,"september",2728,14710,19303
2018,"oktober",2769,14705,19360
2018,"november",2790,14677,19324
2018,"december",2793,14646,19271
