"year","month","Direktaviserade_AEA","Forbundsaviserade_AEA","Medlemmar_DIK_upp_till_65"
2011,"mars",956,16349,19145
2011,"juni",937,16513,19126
2011,"september",944,16661,19101
2011,"december",935,16862,19079
2012,"januari",951,16917,19069
2012,"februari",947,16973,19062
2012,"mars",950,17020,19046
2012,"april",952,17057,19030
2012,"maj",926,17110,19016
2012,"juni",916,17135,19000
2012,"juli",934,17129,18965
2012,"augusti",962,17154,19233
2012,"september",979,17136,19251
2012,"oktober",988,17143,19220
2012,"november",993,17154,19209
2012,"december",1012,17147,19197
2013,"januari",1046,17141,19185
2013,"februari",1070,17116,19247
2013,"mars",1074,17102,19219
2013,"april",1100,17027,19119
2013,"maj",1105,17049,19149
2013,"juni",1111,17036,19129
2013,"juli",1119,16900,19131
2013,"augusti",1149,16878,18981
2013,"september",1230,16946,19522
2013,"oktober",1258,16984,19496
2013,"november",1275,16925,19470
2013,"december",1276,16766,19352
2014,"januari",1308,16802,19343
2014,"februari",1197,16388,18673
2014,"mars",1353,16737,19353
2014,"april",1387,16835,19336
2014,"maj",1399,16810,19321
2014,"juni",1425,16826,19342
2014,"juli",1439,16824,19301
2014,"augusti",1475,16788,19312
2014,"september",1529,16788,19464
2014,"oktober",1579,16794,19567
2014,"november",1655,16886,19566
2014,"december",1632,15638,19527
2015,"januari",1527,15692,18104
2015,"februari",1522,15641,18036
2015,"mars",1166,14826,18170
2015,"april",1585,15529,18008
2015,"maj",1607,15513,17971
2015,"juni",1613,15469,17982
2015,"juli",1630,15486,18017
2015,"augusti",1649,15468,18032
2015,"september",1713,15453,18038
2015,"oktober",1740,15418,18067
2015,"november",1773,15330,18058
2015,"december",1769,15297,18012
2016,"januari",1803,15275,17946
2016,"februari",1795,15217,17899
2016,"mars",1833,15157,17890
2016,"april",1843,15142,17877
2016,"maj",1862,15116,17869
2016,"juni",1868,15023,17854
2016,"juli",1883,15044,17792
2016,"augusti",1909,15035,17815
2016,"september",1940,15006,17865
2016,"oktober",1974,15001,17866
2016,"november",2057,15001,17990
2016,"december",2092,14989,18052
2017,"januari",2142,14957,18056
2017,"maj",2212,14889,18050
2018,"januari",2374,14475,18321
2018,"februari",2419,14485,18346
2018,"mars",2435,14496,18328
2018,"april",2408,14506,18264
2018,"maj",2472,14526,18341
2018,"juni",2501,14519,18315
2018,"juli",2509,14528,18360
2018,"augusti",2515,14549,18345
2018,"september",2546,14543,18305
2018,"oktober",2584,14530,18344
2018,"november",2601,14497,18301
2018,"december",2607,14464,18254
2019,"januari",2615,14433,18194
2019,"februari",2659,14439,18288
2019,"mars",2691,14381,18301
2019,"april",2723,14337,18339
2019,"augusti",2591,14086,17758
2019,"september",2583,13975,17785
2019,"oktober",2597,14072,17780
2019,"november",2609,14022,17740
2019,"december",2618,13964,17707
2020,"januari",2645,13885,17665
2020,"februari",2648,13839,17606
2020,"mars",2847,13865,17758
2020,"april",3989,13843,17832
2020,"maj",3029,13782,17817
2020,"juni",3091,13805,17919
2020,"juli",3135,13816,17968
2020,"augusti",3060,13763,17825
